fileId,fileUrls for custom selected,size
8359716518,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0706.002.2024203194949.nc,13438325
8359719470,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0718.002.2024203201017.nc,11151895
8359729390,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0842.002.2024203212000.nc,15372373
8359729891,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0854.002.2024203212956.nc,10243915
8359731156,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0848.002.2024203213027.nc,10355685
8359733469,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0900.002.2024203215006.nc,12626869
8359744865,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.1024.002.2024203230952.nc,16772998
8360090043,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0336.002.2024204162024.nc,12345900
8360090047,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0330.002.2024204162036.nc,10905405
8360151125,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0500.002.2024204174055.nc,15333666
8360158400,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0506.002.2024204175025.nc,10979557
8360158402,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0512.002.2024204175013.nc,10406951
8360165913,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0518.002.2024204181049.nc,10737201
8360196256,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0642.002.2024204193034.nc,14783046
8360199501,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0654.002.2024204194108.nc,7947256
8360199503,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0648.002.2024204194104.nc,13174781
8360200648,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0700.002.2024204195018.nc,10360332
8360217930,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0824.002.2024204210026.nc,13427835
8360218629,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0830.002.2024204211019.nc,10189426
8360219956,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0836.002.2024204212029.nc,10201902
